pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,pl_rade,pl_name,discoverymethod,y,planet_type
9.65,18.27,453.04,3836.0,0.57,3.07,GJ 9689 b,Radial Velocity,2,Neptune-like
4.28,1.208974,1035.01,4236.0,0.58,1.44,GJ 9827 b,Transit,1,Super-Earth
1.86,3.648103,715.94,4236.0,0.58,1.13,GJ 9827 c,Transit,0,Terrestrial
3.02,6.20183,675.0,4236.0,0.58,1.98,GJ 9827 d,Transit,1,Super-Earth
6261.2196179,1.744579,2300.0,7000.0,1.56,16.47720163,GPX-1 b,Transit,3,Gas Giant
533.95172376,3.052524,1159.07,5470.0,0.952,13.77583728,Gaia-1 b,Transit,3,Gas Giant
259.66580852,3.6915224,1213.23,5720.0,1.064,14.81827249,Gaia-2 b,Transit,3,Gas Giant
13.02,3.822,830.0,3879.0,0.56,3.66,Gl 378 b,Radial Velocity,2,Neptune-like
6.624,15.53,379.0,3656.0,0.427,2.46,Gl 686 b,Radial Velocity,2,Neptune-like
3.87,12.761408,314.6,3296.0,0.2617,0.958,Gliese 12 b,Transit,0,Terrestrial
166.86075,4.46529976,1322.0,5980.0,1.174,14.784671,HAT-P-1 b,Transit,3,Gas Giant
25.0,4.888,838.0,4653.0,0.683,4.36,HAT-P-11 b,Transit,2,Neptune-like
67.059,3.2130598,963.0,4650.0,0.701,10.749,HAT-P-12 b,Transit,3,Gas Giant
270.462,2.91625,1740.0,5653.0,1.756,14.258,HAT-P-13 b,Transit,3,Gas Giant
4538.421,446.27,340.0,5653.0,1.756,12.3,HAT-P-13 c,Radial Velocity,3,Gas Giant
1093.3352,4.62767,1624.0,6600.0,1.82,15.91678,HAT-P-14 b,Transit,3,Gas Giant
616.5902,10.8635,904.0,5568.0,1.07,11.88154,HAT-P-15 b,Transit,3,Gas Giant
1341.56043,2.77596727,1566.0,6140.0,1.158,14.68376472,HAT-P-16 b,Transit,3,Gas Giant
184.3414,10.33852,800.0,5246.0,0.87,11.76945,HAT-P-17 b,Transit,3,Gas Giant
62.61,5.508023,852.0,4803.0,0.749,11.153,HAT-P-18 b,Transit,3,Gas Giant
88.03846874,4.00878322,981.2,4962.0,0.773,11.29865255,HAT-P-19 b,Transit,3,Gas Giant
2866.81223114,5.6335158,1540.0,6380.0,1.39,10.659759,HAT-P-2 b,Transit,3,Gas Giant
2302.899,2.875317,970.0,4595.0,0.694,9.718,HAT-P-20 b,Transit,3,Gas Giant
1547.8321,4.12448,1367.0,5588.0,1.21,12.44199,HAT-P-21 b,Transit,3,Gas Giant
785.0401,3.21222,1463.0,5302.0,1.11,12.89035,HAT-P-22 b,Transit,3,Gas Giant
664.237,1.212884,2056.0,5905.0,1.203,15.334,HAT-P-23 b,Transit,3,Gas Giant
238.3725,3.35524,1637.0,6373.0,1.38,14.5717,HAT-P-24 b,Transit,3,Gas Giant
180.84527,3.65281514,1182.0,5519.0,0.919,12.722215,HAT-P-25 b,Transit,3,Gas Giant
22.2481,4.23452,1080.0,5079.0,0.87,7.06167,HAT-P-26 b,Transit,3,Gas Giant
197.05,3.039577,1091.99,5316.0,0.864673,11.43,HAT-P-27 b,Transit,3,Gas Giant
198.953,3.257215,1384.0,5680.0,1.103,13.585,HAT-P-28 b,Transit,3,Gas Giant
279.6904,5.72319,1281.0,6087.0,1.3,13.11453,HAT-P-29 b,Transit,3,Gas Giant
206.5895,2.8997,1189.0,5185.0,0.87,10.53646,HAT-P-3 b,Transit,3,Gas Giant
263.7989,2.8106,1630.0,6304.0,1.31,16.14096,HAT-P-30 b,Transit,3,Gas Giant
721.4741,5.00542,1450.0,6065.0,1.39,12.21781,HAT-P-31 b,Transit,3,Gas Giant
216.1244,2.1500082,1835.7,6001.0,1.367,22.19382,HAT-P-32 b,Transit,3,Gas Giant
292.4036,3.47447,1782.0,6446.0,1.79,20.73665,HAT-P-33 b,Transit,3,Gas Giant
1058.3739,5.452654,1520.0,6442.0,1.53,13.417173,HAT-P-34 b,Transit,3,Gas Giant
335.62848,3.646706,1581.0,6096.0,1.435,14.930388,HAT-P-35 b,Transit,3,Gas Giant
587.413406,1.32734683,1780.97,5620.0,1.041,14.313893,HAT-P-36 b,Transit,3,Gas Giant
371.528,2.797436,1271.0,5500.0,0.877,13.204,HAT-P-37 b,Transit,3,Gas Giant
84.857,4.640382,1082.0,5330.0,0.923,9.247,HAT-P-38 b,Transit,3,Gas Giant
190.372,3.54387,1752.0,6430.0,1.625,17.609,HAT-P-39 b,Transit,3,Gas Giant
213.255,3.056536,1686.0,5860.0,1.596,14.28,HAT-P-4 b,Transit,3,Gas Giant
152.5584,4.45724,1770.0,6080.0,1.94,17.03768,HAT-P-40 b,Transit,3,Gas Giant
378.2177,2.69405,1941.0,6390.0,2.05,22.97845,HAT-P-41 b,Transit,3,Gas Giant
331.801,4.641878,1428.0,5743.0,1.53,14.348,HAT-P-42 b,Transit,3,Gas Giant
210.395,3.3326414,1353.0,5693.0,1.08,13.63,HAT-P-43 b,Transit,3,Gas Giant
111.871,4.301219,1108.0,5295.0,0.949,13.922,HAT-P-44 b,Transit,3,Gas Giant
283.492,3.128992,1652.0,6330.0,1.319,15.984,HAT-P-45 b,Transit,3,Gas Giant
156.684,4.463129,1458.0,6120.0,1.396,14.392,HAT-P-46 b,Transit,3,Gas Giant
699.226,2.69155,2131.0,6820.0,2.06,17.82231,HAT-P-49 b,Transit,3,Gas Giant
311.4734,2.78849,1517.0,5960.0,1.12,13.56289,HAT-P-5 b,Transit,3,Gas Giant
429.0705,3.1220109,1862.0,6280.0,1.698,14.437192,HAT-P-50 b,Transit,3,Gas Giant
97.57332095,4.21802091,1168.2,5453.0,0.995,13.50682174,HAT-P-51 b,Transit,3,Gas Giant
259.98494,2.7535953,1218.0,5131.0,0.893,11.309881,HAT-P-52 b,Transit,3,Gas Giant
471.65972,1.9616241,1778.0,5956.0,1.209,14.773462,HAT-P-53 b,Transit,3,Gas Giant
241.5508,3.799847,818.0,4390.0,0.617,10.581296,HAT-P-54 b,Transit,3,Gas Giant
189.42573057,3.5852313,1367.0,5804.0,1.105,14.84069045,HAT-P-55 b,Transit,3,Gas Giant
734.1873,2.79083,1840.0,6566.0,1.47,16.92559,HAT-P-56 b,Transit,3,Gas Giant
448.1403,2.4653,2200.0,6330.0,1.85,19.50366,HAT-P-57 b,Transit,3,Gas Giant
